,Model-0,Model-1,Model-2,Model-3,Model-4,Model-5,Model-6,Model-7,Model-8,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_1,DF-MLP_1
0,0.07999999978489962,0.006086964404927844,0.09599997539257675,1.6501207939606984e-10,3.812402209490396e-11,1.936926894240895e-09,0.0500000078386401,0.059999999696819906,5.989379226723549e-11,2.2387585492432085e-08,0.03170697923016529,0.0799999783021693,0.06819305184414422,0.05480631503090117,0.06000001251861457,0.06999999999198171,0.07000000010703915,0.05000000325800828,0.06613865573468018,0.06000000253523247,0.07000000000345036,0.07000000380576564
1,0.047999981891127766,0.030000012005885104,0.0700028334262253,0.05000000499220302,0.08818181846408085,0.1300000301057803,0.12999997094347254,0.1300000000053149,2.7622460713407685e-09,0.05759309346545041,0.06999999846879139,0.06999999998718193,0.07000000026671124,0.069999999820815,0.07000000039709106,0.06999999999750255,0.07819114300504335,0.07000000157681402,0.07999999990160112,0.07168358029758018,0.08326146297021388,0.0704695651381005
2,0.047999981891127766,0.030000028023757418,0.0700028334262253,0.07000000198461587,0.09999999257457004,0.16000000027867875,0.16999986222153649,0.2000000059508783,0.04000000001641985,0.08862057404675613,0.09284645076660934,0.07000000388456853,0.08000006845822326,0.08000000040590442,0.08000000199227321,0.08229262457443112,0.08200332744719768,0.08999999998057122,0.08000000096719181,0.083781830132656,0.0900000000420784,0.08422358327331235
3,0.2127272702227918,0.0900000058586568,0.18444457488984028,0.13999995776937507,0.20499985434698867,0.30000000047044983,0.16999986222153649,0.2000000059508783,0.05999999527555376,0.16000004169495122,0.17000001214920832,0.19834505119496992,0.18000000003765826,0.18000000016623566,0.18000000000508593,0.18000000002287703,0.1807423081109687,0.18000000098163854,0.18000001487677378,0.1800000004414449,0.19036927317157074,0.18999999833054643
4,0.2127272702227918,0.11000000031375017,0.36999986240509786,0.2799999987173196,0.35133389493899564,0.3662499999469307,0.16999986222153649,0.2000000059508783,0.09571228963504191,0.21375390048322326,0.20035601463689687,0.22000013484387887,0.2023585837836303,0.2100242246790852,0.21145371406553512,0.21000000156592027,0.2285214153409834,0.22999999814114377,0.23000000013538316,0.24748302773999828,0.22999999996607917,0.22000001504493516
5,0.25167129048458325,0.23000000026676876,0.4099975549869883,0.2754546878196004,0.347333295382378,0.2260002670449796,0.22000000126086341,0.1800000000148635,0.1566667152095014,0.2600001806529953,0.25598889628884075,0.26999999797149377,0.26733558622692827,0.2699999776252612,0.27000528297504306,0.27000000198627705,0.3099999999719575,0.3100000000593357,0.3199999984467259,0.3200000005047928,0.3099999923957092,0.2697305223119241
6,0.10812498788561888,0.4700000011681469,0.4099975549869883,0.2100000015003525,0.347333295382378,0.43999995409015935,0.14833333856774084,0.02999998629368156,0.33416666637413184,0.2800000086530092,0.24015429644284958,0.13174372936670156,0.17116984737027408,0.20000001165363354,0.18705757195572015,0.16943314204153478,0.23999993842413983,0.2536880351656862,0.2923541142174957,0.30377046175853567,0.24261491908492286,0.16949762462511803
7,0.10812498788561888,0.4700000011681469,0.5348000540558875,0.3371428734520386,0.3657142925743808,0.43999995409015935,0.14833333856774084,0.02999998629368156,0.457777689637064,0.3200000000142136,0.2774593199909111,0.16134461964705363,0.1900000185366031,0.22606537751892633,0.20000000007718627,0.1908501014632989,0.2738205140001298,0.30000000021065265,0.34512382016510396,0.3600000003253807,0.2800022963365319,0.1961665485172217
8,0.26636362514615486,0.3437500795519447,0.5299999989059745,0.3371428734520386,0.3657142925743808,0.43999995409015935,0.14833333856774084,0.02999998629368156,0.4199999524563255,0.31399340032944534,0.28000000053166685,0.24384910489554545,0.25798305725137116,0.27999999997946257,0.2657801797300873,0.2521374865115932,0.2999999996680213,0.3656686519619972,0.38974975734357653,0.4173886585186439,0.30655106330000903,0.240000000098652
9,0.26636362514615486,0.14992866398538748,0.7700000648361419,0.5068187201870817,0.45636362486155624,0.17999977728156927,0.16307692594387538,0.16000003051474826,0.4199999524563255,0.3074535612254843,0.29477592735133823,0.3230506778486871,0.31000000338005723,0.31786545808041783,0.33028898555356556,0.3236704106972596,0.3738247552352437,0.4254771845833116,0.5175109899468057,0.5549879062540682,0.3778556664957096,0.33284603098504073
